x,y,z,Mx,My,Mz
118.0,161.0,0.0,-25800.79576034204,-60839.99999020221,-3525.0877050993327
118.0,166.0,-30.0,-25244.81434577792,-59193.158846136575,3299.810187693934
118.0,166.0,-25.0,-27386.049395424918,-60487.13437459508,3845.952197371454
118.0,166.0,-20.0,-29535.638245063987,-60098.20786444764,2008.7860324801381
118.0,166.0,-15.0,-31339.474861243663,-60009.360660724415,-9.286958103123317e-10
118.0,166.0,-10.0,-29535.638245064678,-60098.20786444725,-2008.7860324817905
118.0,166.0,-5.0,-27386.049395425696,-60487.134374594905,-3845.952197372361
118.0,166.0,0.0,-25244.81434577889,-59193.158846135535,-3299.810187694585
118.0,171.0,-30.0,-23825.924704344983,-57693.533179845945,3535.5664155975633
118.0,171.0,-25.0,-25052.107644600408,-57606.31878496361,3454.943683226909
118.0,171.0,-20.0,-28250.538747167975,-58215.61128592655,2445.8052487262416
118.0,171.0,-15.0,-29250.536387911437,-58142.406360477275,-6.266353673772915e-10
118.0,171.0,-10.0,-28250.53874716869,-58215.61128592605,-2445.80524872768
118.0,171.0,-5.0,-25052.107644600947,-57606.31878496324,-3454.9436832272177
118.0,171.0,0.0,-23825.92470434615,-57693.533179845675,-3535.566415598331
118.0,176.0,-30.0,-22429.69522396767,-54592.789954502216,3446.2182650424584
118.0,176.0,-25.0,-23863.420539000144,-55857.45608773198,4166.866976826777
118.0,176.0,-20.0,-25306.62087140707,-55552.04377932187,2366.418854218563
118.0,176.0,-15.0,-26822.771855905186,-55524.675980916065,-5.420593408831465e-10
118.0,176.0,-10.0,-25306.620871406943,-55552.04377932193,-2366.418854218954
118.0,176.0,-5.0,-23863.420539000927,-55857.45608773209,-4166.866976827682
118.0,176.0,0.0,-22429.69522396855,-54592.78995450117,-3446.2182650425434
118.0,181.0,-30.0,-20659.448594280242,-51303.36637683038,3691.5315643064177
118.0,181.0,-25.0,-21135.147670806924,-51508.93973431417,3609.411891292471
118.0,181.0,-20.0,-23708.475134599536,-52207.34887457847,2699.1795625842974
118.0,181.0,-15.0,-24431.963635696084,-52217.40136860963,-1.1965888708736952e-10
118.0,181.0,-10.0,-23708.475134599532,-52207.34887457913,-2699.179562585579
118.0,181.0,-5.0,-21135.147670806953,-51508.93973431462,-3609.411891292305
118.0,181.0,0.0,-20659.448594280442,-51303.36637683042,-3691.531564306185
118.0,186.0,-30.0,-19426.24829086609,-47097.46650914522,3345.8815013792937
118.0,186.0,-25.0,-20253.92578182977,-48288.277931348006,4063.933810671324
118.0,186.0,-20.0,-21128.230633955005,-48387.613443959184,2443.6517346507712
118.0,186.0,-15.0,-22371.358290063778,-48428.20905569014,-3.1097139678119373e-10
118.0,186.0,-10.0,-21128.230633955314,-48387.61344395869,-2443.65173465025
118.0,186.0,-5.0,-20253.925781830523,-48288.27793134831,-4063.9338106708874
118.0,186.0,0.0,-19426.248290866464,-47097.46650914544,-3345.881501378799
118.0,191.0,-30.0,-17699.006919099145,-42309.2873967871,3121.501402577096
118.0,191.0,-25.0,-18644.659296876453,-43399.90115918903,3131.6511184217507
118.0,191.0,-20.0,-20329.115732433027,-44248.2450827095,2527.1043869799178
118.0,191.0,-15.0,-20804.589148055755,-44479.89413417077,5.183336956530152e-10
118.0,191.0,-10.0,-20329.11573243325,-44248.24508270935,-2527.1043869793684
118.0,191.0,-5.0,-18644.659296876445,-43399.90115918914,-3131.6511184211263
118.0,191.0,0.0,-17699.00691909956,-42309.28739678689,-3121.5014025769465
118.0,196.0,-30.0,-17028.410492000286,-38279.19710380614,2768.1212439251917
118.0,196.0,-25.0,-17881.654495803115,-39461.908276346985,3217.4634786003394
